[0.000000] (-) TimerEvent: {}
[0.001593] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.001607] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.001622] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.001637] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.001651] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.001666] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.001681] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.001695] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001710] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.001724] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.001739] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001753] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001768] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001810] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001849] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001904] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001920] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001935] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001950] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001984] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.002040] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002092] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.002168] (-) JobUnselected: {'identifier': 'parameter_traits'}
[0.002192] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.002224] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.002249] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.002272] (moveit_resources) JobQueued: {'identifier': 'moveit_resources', 'dependencies': OrderedDict([('generate_parameter_library_py', '/home/jake/moveit2_ws_main/install/generate_parameter_library_py'), ('geometric_shapes', '/home/jake/moveit2_ws_main/install/geometric_shapes'), ('moveit_common', '/home/jake/moveit2_ws_main/install/moveit_common'), ('moveit_configs_utils', '/home/jake/moveit2_ws_main/install/moveit_configs_utils'), ('moveit_msgs', '/home/jake/moveit2_ws_main/install/moveit_msgs'), ('moveit_resources_fanuc_description', '/home/jake/moveit2_ws_main/install/moveit_resources_fanuc_description'), ('moveit_resources_jakes_pendulum_description', '/home/jake/moveit2_ws_main/install/moveit_resources_jakes_pendulum_description'), ('moveit_resources_panda_description', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/jake/moveit2_ws_main/install/moveit_resources_pr2_description'), ('moveit_resources_prbt_support', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_support'), ('parameter_traits', '/home/jake/moveit2_ws_main/install/parameter_traits'), ('generate_parameter_library', '/home/jake/moveit2_ws_main/install/generate_parameter_library'), ('moveit_resources_fanuc_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_fanuc_moveit_config'), ('moveit_resources_panda_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/jake/moveit2_ws_main/install/moveit_core'), ('moveit_planners_stomp', '/home/jake/moveit2_ws_main/install/moveit_planners_stomp'), ('moveit_resources_prbt_ikfast_manipulator_plugin', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_ikfast_manipulator_plugin'), ('moveit_ros_occupancy_map_monitor', '/home/jake/moveit2_ws_main/install/moveit_ros_occupancy_map_monitor'), ('moveit_simple_controller_manager', '/home/jake/moveit2_ws_main/install/moveit_simple_controller_manager'), ('pilz_industrial_motion_planner_testutils', '/home/jake/moveit2_ws_main/install/pilz_industrial_motion_planner_testutils'), ('moveit_ros_planning', '/home/jake/moveit2_ws_main/install/moveit_ros_planning'), ('moveit_kinematics', '/home/jake/moveit2_ws_main/install/moveit_kinematics'), ('moveit_planners_ompl', '/home/jake/moveit2_ws_main/install/moveit_planners_ompl'), ('moveit_ros_robot_interaction', '/home/jake/moveit2_ws_main/install/moveit_ros_robot_interaction'), ('moveit_ros_warehouse', '/home/jake/moveit2_ws_main/install/moveit_ros_warehouse'), ('moveit_ros_move_group', '/home/jake/moveit2_ws_main/install/moveit_ros_move_group'), ('moveit_resources_prbt_moveit_config', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_moveit_config'), ('moveit_ros_planning_interface', '/home/jake/moveit2_ws_main/install/moveit_ros_planning_interface'), ('moveit_resources_prbt_pg70_support', '/home/jake/moveit2_ws_main/install/moveit_resources_prbt_pg70_support'), ('moveit_ros_visualization', '/home/jake/moveit2_ws_main/install/moveit_ros_visualization'), ('moveit_setup_framework', '/home/jake/moveit2_ws_main/install/moveit_setup_framework'), ('pilz_industrial_motion_planner', '/home/jake/moveit2_ws_main/install/pilz_industrial_motion_planner'), ('moveit_planners', '/home/jake/moveit2_ws_main/install/moveit_planners'), ('moveit_setup_app_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_app_plugins'), ('moveit_setup_controllers', '/home/jake/moveit2_ws_main/install/moveit_setup_controllers'), ('moveit_setup_core_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_core_plugins'), ('moveit_setup_srdf_plugins', '/home/jake/moveit2_ws_main/install/moveit_setup_srdf_plugins'), ('moveit_setup_assistant', '/home/jake/moveit2_ws_main/install/moveit_setup_assistant'), ('jakes_pendulum_moveit_config', '/home/jake/moveit2_ws_main/install/jakes_pendulum_moveit_config')])}
[0.002396] (moveit_resources) JobStarted: {'identifier': 'moveit_resources'}
[0.098845] (-) TimerEvent: {}
[0.141587] (moveit_resources) JobEnded: {'identifier': 'moveit_resources', 'rc': 1}
[0.142494] (-) EventReactorShutdown: {}
